offensive_language,tweet
3.0,Young Thug called a bitch his twin on a track. I don't even know what he mean by that but I'm definitely bout to start calling bitches that
2.0,Young jezzy dat nigguh
2.0,Young Gem &amp; Don Chief been killing it in the yo...going in on that real music..no bubble gum trash in the booth... http://t.co/lkjNb7uZmt
3.0,young buck wanna eat!!.. dat nigguh like I aint fuckin dis up again
3.0,Young bitches talk about their new man ALLLL DAY....as if anyone is really intrested in that shit lol
1.0,You&#8217;re a little bitch RT @FuckingCashBro: RT @Thotcho: my team got blown out in the Super Bowl
3.0,You&#8217;re a bitch RT @FuckingPatBro: Ain&#8217;t seen y&#8217;all lose that bad since&#8230; RT @Thotcho: At work slitting my wrists currently. Thanks tom brady
1.0,"you've gone and broke the wrong heart baby, and drove me redneck crazy"
2.0,"you's a muthaf***in lie &#8220;@LifeAsKing: @20_Pearls @corey_emanuel right! His TL is trash &#8230;. Now, mine? Bible scriptures and hymns&#8221;"
3.0,"You're unattractive &#8220;@Therealalonig: $10,000 dinner dates with yo man bitch. #pow @karrueche http://t.co/KRFe8NXWNz&#8221;"
2.0,You're ugly anyway hoe. Sit tf down somewhere
1.0,you're such a retard i hope you get type 2 diabetes and die from a sugar rush you fucking faggot @Dare_ILK
3.0,You're such a pussy &#128514;&#128514;
3.0,"You're such a fake bitch. I cannot stand you. If you read this and wonder if its about you, it probably is."
1.0,You're stuck on ghetto middle school days. Step our g... &#8212; wtf how ah I stuck in the middle school games jusy bc... http://t.co/hJnV01NTGB
0.0,You're standing on a slippery slope where it's all too easy to... More for Libra http://t.co/7THsA7v26i
3.0,You're pussy ass set don't mean shit to me.
3.0,You're not a very good listener &#8220;@_NoVacancies: &#8220;@DJZeeti: twitpic a selfie with a bad bitch @ZeetisGirls&#8221; http://t.co/TGqzQSzJi1&#8221;
3.0,You're no way near about that life bitch lmao
0.0,You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe
1.0,You're just trash like sorry
1.0,You're just another nigguh.
3.0,"You're irrelevant, bitch"
2.0,You're dismissed bitch. @ConchGunny: @00_jackie no.. i wanna play with you thumper..&#8221;
1.0,You're black? Your name looks Hungarian. You marry a Hunky? @JulieSczesny @ChrisLoesch
3.0,"You're an ugly fucking bitch, get off your high horse"
2.0,You're an ugly fat cunt whore. You need to odee
0.0,you're all niggers
1.0,You're all just crows on the power lines.
1.0,You're all faggot fuckheads.
2.0,You're a stupid hoe
3.0,You're a stupid fucking bitch
3.0,You're a hoe ass faggot bitch cunt nigga
0.0,You're a faggot if you use the cover your face emoji
2.0,You're a dumb bitch. Wow.
2.0,You're a bitch dawg. A straight bitch.
2.0,You're a bitch &amp; I hate you
2.0,You're a bad bitch and I want you.
3.0,You'll never catch me in public with a chick that got an iPhone 4s. I'm only seen in public with classy bitches
3.0,You you can't get no money silly hoe
3.0,"you worried bout other bitches, you need me for?"
3.0,"You workout, tweet, Instagram, tweet, text some hoes, xbox, fall asleep these young boys ain't gotta clue what grinding is"
3.0,You working today faggot? @Pipe_Tyson
2.0,You was nothing but a dirty whore!!! Fuck you bitch
2.0,You want thingamabobs? I got twenty bitch
3.0,"You want me on the couch playing video games where you can see me or out with my friends with other pussy in reach, bae?"
3.0,You want a smart educated dumb bitch you can date. #Lol #drunktalk
3.0,"You wanna know some crazy shit? Without the sunshine, you could find a SHADY bitch!"
3.0,"You wanna hot body
You wanna Bugatti
You wanna Maserati
You better rob a bank bitch"
1.0,You wanna find hoes on here? Just follow the chicks who reply with heart eyes under sex gifs
3.0,You unfollowed me? You dumb cunt!! Jk..I don't blame you.
3.0,You tried me hoe. I can sinf
2.0,You trash tho RT @OME23Y: Edgewood Basketball court NOW!!!!
3.0,"You too old to be on Twitter, crying like a bitch..."
3.0,You thought I was playin when I cut that bitch off
3.0,You think you're pussy is wet? My kitten drowned two days ago.
2.0,You think she classy niggah but she really ratchet
2.0,You think I'd learn by now that once red flag bullshit appears to gtfo. But nooooo I have to have faggot ass faith in people.
3.0,You think America has crooked laws?Women in other countries get executed in the street for shoning.You American hoes wouldn't make it.
3.0,"You the bitch nigga type, you ain't never had a fight."
2.0,You tha hoe
2.0,You still that nigga b don't trip. They just hatin cause they got no bitches RT @THEOilogy: Nigga stole on me... Princess punch.
2.0,You still fuckin with a sorry ass nigga that makes you a sorry ass bitch #Mimi #NotSorry
3.0,You still can't turn a hoe into a house wife !
0.0,You state it gook
1.0,You some type of special faggot if you bring chocolate Swishers to a smoke session.
3.0,You should probably go clean your nasty pussy and not worry about wtf I'm doing.
2.0,You should have to be over 6 foot and 220 lbs to buy a truck. We know most of you get em cause you're scrawny country pussies.
3.0,You selfish bitch... I bet you love running.. I sure do.
3.0,You see you? You a bitch you.... Talk shit nigga you'll get ya issue!!
3.0,You see these two pussies Jason capuano nd Jason cousins taking Chit on the gram but ain't about that&#8230; http://t.co/IPYnkaqUfz
3.0,You see me shining on yo bitch ass &#128570;&#128571;&#10024;&#127775;&#128171; http://t.co/ekWNL6bau4
3.0,You scum bro RT @HURRICANESENSEI: When tha pussy was trash but she still txt yu... http://t.co/5tasiq5YO8 my life ain't shit
3.0,You scared I ain't scared to beat the pussy up
3.0,You say you gotta new bitch?
3.0,You say that bitch bad but she ain't shit to me !
3.0,"You say no to ratchet pussy, juicy j cant."
3.0,You say no to ratchet pussy but juicy-j can't! Bands will make her dance
3.0,"You say it like they're a new toy, they're children you dumb bitch &#8220;@Knia_Amareee: Mixed Babies,I want one &#128525;&#128525;&#128525;&#128525; http://t.co/7riWuwamLz&#8221;"
2.0,You say I'm a bitch? I say I'm a woman with a strong personality that doesn't play well with others!&#128074;
0.0,You said you be smoking strong but your wrong you been smoking trash it's not in my lungs if it ain't that pressure.
0.0,You said you be smoking strong but your wrong you been smoking trash and it aint in my lungs if it aint that pressure
3.0,You said that's yo bitch but that bitch look fu &#128551;
3.0,You said I texted u and told u I missed you? Yeah I did bitch like 4 weeks ago. Grow up
2.0,You right fam. RT @pufntrees: @202SOLE jus peeped ur tl.cmon son.look at em.he a bitch
3.0,you really care bout dis bitch. my dick all in yo feelings
3.0,You really can't be too nice to bitches that's the easiest way to get cheated on
2.0,You ratchet ass bitches gonna have nobody to blame but yourself when you get an std
2.0,"You pussy nigga, I see ya whiskers"
2.0,You pussy if you lie for pussy &#128175;&#128175;
3.0,You poor soul RT @VICD713ENT: Cuz fat bitches the only thing that I like
3.0,You out there popping them pills fucking them stank hoes.. Keep it real you ain't really bout your bank roll.. You're satisfied.
3.0,You only bully people you know you can. Why you ain't do this in the playoffs bitch? @KingJames
1.0,"You old bitter,salty ass niccas make my flesh crawl off my bones! Such bitches you are! #DontArgueJustAcceptIt"
3.0,You not playing me bitch I know wassup
3.0,You nigguhs glorifying pussies
2.0,you niggers cheat on ya gf's? smh....
2.0,You niggaz is bitches better yet actresses da k hit ya ass nd flip you like a pissy mattress
2.0,You niggas that would rather your girl wear jeans and Js instead of a tight dress and heels are faggots..
2.0,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.
3.0,You niggas puttin bitches you haven't even fucked yet on a pedestal. Scratch her off your hit list b. You ain't never hittin that.
3.0,You nigga eating these hoes pussy but they ain't worth it
3.0,"You never invite me anywhere, yet you bitch about it when I do it to you? No."
3.0,"You never heard ""i think i have weed poisoning"" cause it dont exist hoe"
0.0,You NEED an iPhone to use their stupid watch? Apple is just grabbing people ankles and shaking the money out of rubes pockets.
2.0,You need a nicca like me to bring that freak outta you
3.0,You need a muzzle for your horse face bitch.
2.0,You must be retarded &#8220;@YahAriah: &#8220;@septicaIs: Quote with a thirst trap &#128520;&#8221;&#128069;&#128069;&#128069; http://t.co/qPZx198vNt&#8221;
3.0,You must be part of the cat family. . Cuz you're a fucking pussy
3.0,you might as well gone pussy pop on a stage
3.0,You mean these hoes RT @KingHorseDick: Russ never gonna be happy bruh
3.0,"You mad cuz she fucking on ya enemy? She wins Cuz you letting that shit fuck with you. You can't control these hoes, why stress?"
3.0,"You mad cuz I was in the van with yo bitch
With both hands on her tits"
1.0,You losing 0-3 @sterling31 and that's what u trying to do? Stupid yardie
3.0,you look like your 12 stop talking about fucking bitches &#9757;
3.0,you look like AC Green...bitch don't call here anymore...
3.0,You little twats.
2.0,"You little stupid ass bitch, i aint fuckin with you!!!!!"
3.0,You little stupid ass bitch I ain't fuckin witchu.
2.0,You little dumb ass bitch I dont fuck with you!
2.0,You lil stupid ass bitch I ain't fucking with you
3.0,"you lil dumb ass bitch, i ain't fuckin wit chu!.. i got a million, trillion things i'd rather fuckin' do.. than to be fuckin witchu."
3.0,You like where the hell is yo bitch meanwhile yo bitch like where the hell is yo clique #ayeeeee
0.0,You like those? Honestly they tasted like the sole of my shoes RT @rllllytired: @ItsNotHarold that's a shame.
1.0,You like them bitch niggas.
3.0,You knows dat once you white bitches has da black cock on yo uptight white asshole you wants it again and again and again
3.0,You know you married a hoe ass bitch when she let the nigga come over and let the nigga take ya porn DVDs.
0.0,"You know you are in the ghetto when you see streets named Martin Luther King Jr &amp; LittleJohn. 
#halp"
3.0,You know you a bitch ass so I don't need to say it.
3.0,You know why we call life a bitch? Cuz she don't use no lube or nothin when she stick her big ole cock up your ass and fuck you raw.
3.0,"You know what, all you are doing is being a burden to me. A fuckin annoyance and I hate bitches like you"
3.0,"you know what your doing when you favorite a tweet, tryna cheat ass bitch haha"
1.0,"you know what they say, the early bird gets the worm. *puts gummy worms in your morning coffee*"
3.0,You know what im into nigga .. Money &amp; expensive bitches
1.0,You know what fuck you too bitch your such a little hoe! &gt;.&lt;
3.0,You know what fuck that bitch and you didnt react? girl it's me and you
3.0,You know these hoes wishy washy !
3.0,You know these hoes wishy washy
3.0,You know these hoes is no good when all the singers stop making love songs &#128514;&#128514;
3.0,You know the head good when it feel like she has a pussy stuffed down her throat
2.0,You know random niggaz and bitches wish the worst on eachother... Just look at their tweets.
3.0,You know people ghetto when they leave the plastic shit on their TVs
3.0,You know im not even gonna respond to that but I know the real you bitch!
1.0,"You know I'm not big on the NFL, but I'm so sick of hearing all of this ""Black and yellow"" shit. LOL @ bandwagon fans and hell, GO PACKERS!"
2.0,You know i stay on fuck a bitch shit but with a street nigga thats what you gonna get .
2.0,You know how trash of a grown ass woman you gotta be for a nigga to be fucking around 17 year old? 10 year old landfill trash.
3.0,You know how these lil bitches &#128530;runn they mouth up in the streets &#128078;&#128080;
3.0,You know how these hoes be! http://t.co/EdHIfNsrfR
3.0,You know how many hot bitches I own?
3.0,You know how hard it is to find a good woman? But yo hoe ass being ungrateful and cheating on your good woman cuz what? Faggot shit.
3.0,"You know bitches be mad when they be like ""I'm my own #wcw&#128514;&#128514;"
3.0,You know a bitch mad when she throw her drink &#128514; now she got to find another nigga to buy her another one
3.0,You know a bitch is crazy when she smiles and she's upset!
3.0,"You just worried bout the bitches, I got one girl and she my girl no one else can hit it"
3.0,you just want some attention hoe
2.0,You just salty you ugly and white RT @JayWiz614: @ItsNotHarold they all some hoes
3.0,You just caught this bitch cheatin while you at work shes with some dude tryin to get off? FUCK slittin her throat CUT THIS BITCH'S HEAD OFF
3.0,You just a Twitter hoe
3.0,"You hoes love sayin ""You think you cute huh"".. Naa, You do.."
3.0,You hoes give me more and more reasons everyday to stay my ass single for another 2 years
3.0,You hoes complain too much.
2.0,You hoes are in for a pleasant surprise &#128540;&#128527;
3.0,You hoes AINT fucking with me &#128526;&#128526; http://t.co/abITIixmhz
3.0,you hoe spice
3.0,You have no friends BC nobody wants to be guilty by association #hoe
0.0,You have my word we will RT @JRwrz: @Thotcho beat those fucking faggots pls
1.0,You hate football your a faggot
2.0,You guys are all faggots.
3.0,you gotta understand that these bitches are childish
3.0,You gotta block dumb hoes
2.0,you gotta be a new breed of retarded if you do that. http://t.co/PeinRwsZzq
3.0,You got wild bitches tellin you liessss
3.0,You got that pussy nigga disease ain't no curing ya
2.0,"you got niggas, and i got bitches."
3.0,"You got niggas and I got bitches.
PARTYNEXTDOOR ain't never lied."
2.0,You got my name In your mouth but I got your bitch on my dick &#128586;
1.0,You got me faggot
3.0,You got hoes really out there titty twerkin &#128584;&#128584;&#128584; https://t.co/1Cc7GU4e7O
3.0,"You got dykes, I got the Vic's"
3.0,You got 15k followers n the same bed sheets from last month .. These bitches be confrused ( @YoGottiKOM ) voice
3.0,You giving me head tonight or nah ? &#8212; I'll shoot your fucking pussy hoe http://t.co/yvBJuNoTXE
3.0,You girls needa stop with the edits. Damn near got catfished a week or two ago and the bitch keeps findin her way back&#128530;&#128548;&#128165;&#128299;&#128553;
0.0,"You fucking fag &#8220;@baethingape: this is exactly what i am talking about 

women are pigs http://t.co/oKR3seYFBJ&#8221;"
3.0,"You fuck up , I try to be nice. I fuck up , you go ape shit and stay mad. Wtf haha"
3.0,You following a whole bunch of bitches that look better than your girl don't do nothin but make you wanna cheat more
3.0,You fat hoes need to exercise and diet
3.0,you fake niggah lolol
2.0,You fags hyped that shit up so much and I listen to it... Everything is GARBAGE
2.0,You ever seen a fine Eskimo bitch?I'm in google images looking them up now.
3.0,"You ever see bitches comment on a vine like ""oh my god, that's me!"" Knowin damn well she would neva do some shit like that lmfaaoo"
2.0,"You ever randomly woke up and ya bitch standing over you, just staring."
3.0,"You ever had a piece of pussy man, that be on your mind like money?"
3.0,"You ever dream about fucking a chick, fuck her in real life then the pussy was better in the dream?"
3.0,You estupid bitch I don't like you &#128074; how hard is it to understand
3.0,You dumb bitch you think I work for free!
2.0,you drove me redneck crazy
2.0,You drink light beer? Hahahahahahahahahahaha what a pussy!
3.0,You done with that clown bitch or ...?
2.0,"You don't know me, but I'm your bra. RT @HuffingtonPost: Doobie Brothers member Michael McDonald says he'll ""come out as a tranny"""
2.0,You don't HAVE to say it. You showed yaself. RT @UptownRaised: Bitch nobody said I did now shut the fuck up that fat made you retarded @VofD
2.0,You do something different you turn out a hoe
2.0,"You da bess, you deserve a crown bitch!"
3.0,"You could fuck my bitch , lemme fuck yo bitch &#128514;&#128514;&#128514;&#128514; &#128175;"
0.0,You could be viewing the future through rose-colored glasses t... More for Libra http://t.co/UOoN09K1Dq
3.0,You cant tell these bitches nothing... they belong to the city
3.0,You can't trust no chick that got a pet cat b those bitches be mad sneaky
3.0,You can't spell Patrick without trick so trick or treat bitch
3.0,You can't put the pussy on a pedestal
3.0,You can't put anything past a New York bitch. Or a Detroit bitch. Or a Chicago bitch.
2.0,You can't play me for a fool my niggah
1.0,You can't owe me shit ion trust niccas
3.0,You can't owe me shit I don't trust niccas!
3.0,you can't cuff a hoe lmao
2.0,You can't call a bitch a bitch if you're a bitch
3.0,You can't blame me for the bitches I attract.. Y'all say ima asshole when I talk about hoes... but that's kinda what I be having.
3.0,You can't be mad when people call you a hoe if you out here acting like one
3.0,"you can tell when dick recently been in a pussy, taste nasty af ewww bitches better never play that shit"
1.0,"You can only say the word negro if it's attached to the word league. Then we're totally cool, guys."
3.0,you can never get a group of hoes together witout em resorting to being hoes....
3.0,you can masturbate anytime bitch lol &#8220;@greyyygoose: I just want some damn alone time. Fucccckkkkkk! Lol&#8221;
3.0,You can expect me to be a total bitch towards you now yet again.
3.0,"You can call me a bitch, OK! But a the thief get out of here. Smdh"
3.0,You can buy my fucking life and you've never even broken a sweat stop crying bitch @KylieJenner http://t.co/cipWztVnUo
3.0,You can buy bitches/ho's etc tho
2.0,You can be a hoe in love
3.0,You can ask if I fucked a bitch but can't ask how my Father's Day was?!! ... These hoes be outta line!
3.0,You bitter bitches need a life..!
2.0,You bitches wearing leggings everyday are sick. I know y'all wore the same pair 3 days in a row you can't fool me
2.0,You bitches that entertain all the attention you get from these niggas are the worst kind of hoes there is
3.0,You bitches make me sick
3.0,you bitches love yall some corny nigga
3.0,You bitches got me all the way fucked up idc how many pineapples y'all eat your pussy still gon taste the same so give that shit up please
3.0,You bitches can't relate to me. So stop.
3.0,You bitches are crazy
3.0,You bitches all got that one friend who wear the same fit to every other function and it don't even be that clean&#128514;
3.0,You bitch like to text emojis
3.0,You bitch hole you never text me back.... Can you guess who this is... &#8212; Haha i never text anyone back my bad http://t.co/f4CsTdQGEc
3.0,You better work bitch
3.0,You better watch your hoe she fuckin everybody
3.0,You better pray to god I don't like yo bitch cause we might catch eyes and she might get hit
3.0,You been the side hoe &#128514;&#128514;&#128514;&#128128;&#128128;&#128074;
3.0,You at the club EVERY week bitch get a life
3.0,You ask me about 2014? I'mma make dat bitch my bitch!!
3.0,You arguin bout a bitch and she a god damn slutttt
3.0,You are so fake &amp; I'm going to put you on blast bitch.
2.0,You are beyond retarded
0.0,You are a jiggaboo...!
3.0,"you are a hoe, hoe, &amp; a hoe."
2.0,"You are a BOY you DONT say ""clutch"" fag ass. That's that bitch shit lingo tf."
3.0,You are a bitch. #CallEmLikeISeeEm
3.0,You are a bitch.
3.0,You and yuh bitch ass ull get smacked quick
3.0,YOU and them bitches that you came wit
3.0,You and that BBW shit can get TF off this planet. Take these stud hoes with you too.
3.0,You always see some shit on Old York Rd on the late night I done seen like 4 tranny and a midget
3.0,You always find something to bitch about.
0.0,"You always buy me colored goldfish when my stash is low, and you are a constant inspiration to me and&#8230; http://t.co/nCPd8uSljf"
1.0,"You all are retarded if you really Kendrick was trying to diss all those rappers, don't think just cuz names were said he was coming at them"
3.0,You ain't trynna fuc ? Get ya shoes hoe
3.0,You ain't squad lil bitch
3.0,You ain't nothin but a piece of cheese with out the corners in other words you ain't never gone be a slice bitch &#128514;&#128514;&#128514;
3.0,You ain't my main bitch so why the FUCC do you care !!!???
3.0,You ain't my bitch so lil bitch why you bitchin?
3.0,You ain't my bitch so lil bitch why you bitchin
2.0,you ain't gotta be a dyke to like hoes
3.0,"You ain't got no job, no diploma, no money, bitch at your parents when they don't give you money for weed, yet We need to act like adults??"
2.0,You a world class hoe
3.0,You a stupid hoe
2.0,You a shoulda coulda woulda ass niggah Ima wish a niggah would ona hood ass niggah
1.0,You a real life faggot if you ever fight another man because he fucked your girl. You just gotta take that L like a man and move on
2.0,You a pussy hoe until you give me pussy hoe
3.0,You a pussy dawg @Pipe_Tyson
1.0,you a pussy ass nigga and I know it nigga.
0.0,You a lame ass nigga still cuffin these hoes my bitch got a bitch with er
3.0,You a hoe.
3.0,you a hoe nigga forreal
3.0,You a hoe if you take a taxi to the club
2.0,You a hoe if you like gettin drunk
2.0,"You a hoe if you ever ""fstow"" after midnight"
1.0,You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.
3.0,You a hoe if u eat candy corn
2.0,You a hoe for not having deals on fried chicken @groupon
2.0,You a faggot if you bring a jacket to work and keep it at ya desk b/c the office is cold.
3.0,You a bitch
3.0,You a basic ass bitch #realtalk
1.0,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;"
1.0,"Yost on Portsmouth ""this is the biggest white trash county in the nation"" #YostKnowsMost @iDOWNTOWN"
3.0,Yoh brownie had me fukd up high last night
3.0,Yoga has been around for ages and these bitches just now figuring it out
3.0,Yo. ... this bitch in Macy's tried to run out the store with a gaggle of clothes and got caught
2.0,Yo this niggah catch every tweet lls oh my goodness
3.0,Yo that teacher in Baltimore wasn't bullshitin with that bitch lmao
3.0,Yo that nigga at #USC was lying &#128514;&#128514;&#128514;&#128514;&#128514; had y'all bitches calling him ya MCM and all how do u feel....ok back to you Bob
3.0,Yo pussy been through it for the 9 scrapehouse visits. .
3.0,Yo pussy ain't shit unless you had some jake from state farm in it
3.0,Yo pussy ain't shit unless you had some @MagicJohnson in it
2.0,Yo own homegirls sayin you a bum bitch #Ooooostopflexingforigandtwitter
3.0,Yo main bitch that's my side hoe !
0.0,Yo if you get like over 25 of flappy bird you need to do some self evaluation because you probably have no life
3.0,Yo I'm not a bitch but don't take my order right and I will fucking become one.
3.0,"Yo homegirl fat and got a mustache, no need to ""yass bitch &#128525;&#128525;"" that"
2.0,yo hoe will get slayed! &#128298;
3.0,yo hoe will get slayed . &#128298;&#128298;
3.0,Yo hoe is like a tick so she hunting for a blood
3.0,Yo fuck the pats they are still bitches
3.0,Yo fuck firestone for that commercial givin bitches ideas to run over guy's video games. I'd cut a bitch over that.
3.0,"Yo daddy is a bitch, you jus a son of that boyyy...."
3.0,Yo can you guys stop being little bitches just know everything happens for a reason of your meant to be you will be &#128079;
3.0,yo bitch want that vitamin D she lookin desperate
3.0,Yo bitch wanna fuck the squad!!&#128526;
3.0,Yo bitch wanna fuck the squad
3.0,Yo bitch she boof she got that throwbac pussy !
1.0,Yo bitch on my dick she come to my crib she get passed around no love
3.0,Yo bitch LOOKIN like she wana fuck summn
3.0,yo bitch look like a boogawolf
3.0,Yo bitch know wat im talkin bout
3.0,Yo bitch go wild more miles on her pussy then my car do
3.0,Yo bitch gaggin she jet laggin
3.0,Yo bitch choosinh just Let''R
3.0,Yo bitch choosin' just let her
3.0,"yo bitch bitch gone let me fuck tonight
thursty Thursday at the WesGod cave"
1.0,Yo bitch ass needs to boss the fuck up.
3.0,"Yo bitch all over me, I ain't make no commitment"
3.0,Yo bitch a freak fucked ha to sleep and dat was the last time I was slept on. . .Shit I woke ha up nd fucked ha again so she aint sleep long
2.0,Yo @KayciMalynn I miss you. Ya cunt.
3.0,Yo @espn u let that peckerwood skip get away with anything.. Fuck u @espn
3.0,YMCMB always get caught up with strippers. Tyga actually had a child with one. Niggas get rich a buy bitches
3.0,"Yet you won't tag @AnthonyCumia 
What a pussy.
""@Gus_802: Cripes, what a loser. https://t.co/a3gpdURamA"""
3.0,yet this nigga still checkin up on his old hoes.....
0.0,"Yesterday, I saw a red hair do, with streaks of orange and yellow in it. Combed up like Woody Wood Pecker. And... http://t.co/o3hiKa2Fin"
3.0,Yesterday was an all around good day. Great day. Saw a lot of people i havent seen in a while and got high as giraffe pussy #Easter420
2.0,Yessir. You know this man RT @BryceHamilton11: @ItsNotHarold u got some pack fag boy I'm comin thru
1.0,Yes. And favorites this. RT @StraightCash08: @202SOLE please tell me you didn't buy that trash
0.0,YES!! RT @Merky__: NO!!! RT @HuffPostTaste Will YOU buy the new Caramel Apple flavor of Oreos? http://t.co/K8zUp4Ynzf http://t.co/AMuZaTglx8
3.0,Yes! Daryl and Michone are my niccas!RT @JaJuan_Cofield: @VonshayeB got it recorded! Been waiting months for this season premiere!!!
3.0,"Yes, I'm a hairy white man with redneck tendencies who absolutely loves Aretha Franklin. Fuck you hater."
2.0,Yes yes yes that's all you gone hear never met a hoe yet that a tell me no
3.0,"Yes ugly bitch with the shitty platinum blonde skunk hair, you did take cuts"
3.0,"Yes suhh &#8220;@Swishas_Erbs: &#8220;@Vonteeeeee: Fuck you bitch, I'm CHILLIN&#8221; You Gettin Live Tomorrow ?&#8221;"
2.0,"Yes lawd &#171;@JusDahl God took extra time on you... &#8220;@jaleesaraex: ""you have lips like kylie jenner""
...bitch I'm black http://t.co/zj2Guu0pCM"
3.0,Yes I love sex I told yo bitch being the rubbers
2.0,yes good shapely eurotrash manbooty
3.0,Yes bitch you still in love in rich. She lying
3.0,Yes &amp; no RT @ChannyMaraj Is it ok to beat a bitch up over some tweets or nah?
0.0,"Yep, sources confirmed it. That Iggy concert last night was trash"
2.0,"Yep RT @KingHorseDick: Nope and never will. RT @iRejectSlimHoes: Fellas u ever had some pussy so good YOU send a ""so what are we?"" Text?"
1.0,Yellow jackets at gas station trash cans are THE worst
3.0,Yeezus was fuckin trash
3.0,Yeen no real nicca if yeen got no porn sites n your internet history
3.0,Yeen never seen a fat nigga on a molly bitch imma hurt somethin
0.0,Yee boy my yung nicca told me dat waxx
3.0,"Yeah, I'm SO annoying until you need something...bitch #fuckfriendzones I don't play that shit, fuck with my heart and I'll make you wish"
3.0,"Yeah, I had a bitch, but she ain't bad as you, so hit me up when you pass through"
3.0,"Yeah, he forgot to say ""Dumb"" &#8220;@TwistTwizzy: @snoopDogg made a mistake for calling @IggyAzalea bitch.&#8221;"
2.0,"Yeah your eyebrows on point, but is ya pussy clean?"
3.0,Yeah you bitch &#128514;&#128514;&#128514;
3.0,Yeah you bad but hoe so what
0.0,Yeah they do. RT @Yankees: Six complete here at The Stadium. #Yankees lead the Red Sox 3-1. #LetsGoYankees
3.0,yeah these valley faggots can go fuck themselves
3.0,Yeah the NFL trash as fuck for this London shit
1.0,Yeah that's where you're supposed to put the trash can.... #rude http://t.co/molWF0py
3.0,"Yeah right, yeah right, this guys a faggot."
0.0,Yeah okay let's just put a fire cracker in a cow pie and see what happens
3.0,"Yeah it was a great one actually, I'm fucking hilarious bitches &#128129;&#128536;"
3.0,"Yeah im livin right, these bitches dead wrong"
3.0,yeah I'm small den a hoe http://t.co/VV3qdTo7MG
3.0,"yeah I'm a bitch, but guess what? you're still a slut."
3.0,"Yeah I tried and you bein all blind and shit. Lol peace, bitch.&#127797;"
3.0,Yeah I have acne but I still pull hotter bitches than you (-:
2.0,yeah i got soul i was brought up by colored women.
3.0,Yeah I can just tell by the weather that I won't be gettin any pussy today
3.0,Yeah hoe. http://t.co/qZXi0IuFCf
3.0,Yeah hoe.
